Variable_ID,Variable_Name,Table_ID,Table_Name,Unit
uk062001,National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over,uk062,National Statistics Socio-economic Classification (NS-SEC),Person
uk062002,"National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations",uk062,National Statistics Socio-economic Classification (NS-SEC),Person
uk062003,"National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations",uk062,National Statistics Socio-economic Classification (NS-SEC),Person
uk062004,National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations,uk062,National Statistics Socio-economic Classification (NS-SEC),Person
uk062005,National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers,uk062,National Statistics Socio-economic Classification (NS-SEC),Person
uk062006,National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations,uk062,National Statistics Socio-economic Classification (NS-SEC),Person
uk062007,National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations,uk062,National Statistics Socio-economic Classification (NS-SEC),Person
uk062008,National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations,uk062,National Statistics Socio-economic Classification (NS-SEC),Person
uk062009,National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed,uk062,National Statistics Socio-economic Classification (NS-SEC),Person
uk062010,National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students,uk062,National Statistics Socio-economic Classification (NS-SEC),Person
uk063001,Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census,uk063,Occupation (current),Person
uk063002,"Occupation (current): 1. Managers, directors and senior officials",uk063,Occupation (current),Person
uk063003,Occupation (current): 2. Professional occupations,uk063,Occupation (current),Person
uk063004,Occupation (current): 3. Associate professional and technical occupations,uk063,Occupation (current),Person
uk063005,Occupation (current): 4. Administrative and secretarial occupations,uk063,Occupation (current),Person
uk063006,Occupation (current): 5. Skilled trades occupations,uk063,Occupation (current),Person
uk063007,"Occupation (current): 6. Caring, leisure and other service occupations",uk063,Occupation (current),Person
uk063008,Occupation (current): 7. Sales and customer service occupations,uk063,Occupation (current),Person
uk063009,"Occupation (current): 8. Process, plant and machine operatives",uk063,Occupation (current),Person
uk063010,Occupation (current): 9. Elementary occupations,uk063,Occupation (current),Person
uk066001,Economic activity status: Total: All usual residents aged 16 years and over,uk066,Economic activity status,Person
uk066002,Economic activity status: Economically active (excluding full-time students),uk066,Economic activity status,Person
uk066003,Economic activity status: Economically active (excluding full-time students):In employment,uk066,Economic activity status,Person
uk066004,Economic activity status: Economically active (excluding full-time students):In employment:Employee,uk066,Economic activity status,Person
uk066005,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed with employees,uk066,Economic activity status,Person
uk066006,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed without employees,uk066,Economic activity status,Person
uk066007,Economic activity status: Economically active (excluding full-time students): Unemployed,uk066,Economic activity status,Person
uk066008,Economic activity status: Economically active and a full-time student,uk066,Economic activity status,Person
uk066009,Economic activity status: Economically active and a full-time student:In employment,uk066,Economic activity status,Person
uk066010,Economic activity status: Economically active and a full-time student:In employment:Employee,uk066,Economic activity status,Person
uk066011,Economic activity status: Economically active and a full-time student:In employment:Self-employed with employees,uk066,Economic activity status,Person
uk066012,Economic activity status: Economically active and a full-time student:In employment:Self-employed without employees,uk066,Economic activity status,Person
uk066013,Economic activity status: Economically active and a full-time student: Unemployed,uk066,Economic activity status,Person
uk066014,Economic activity status: Economically inactive,uk066,Economic activity status,Person
uk066015,Economic activity status: Economically inactive: Retired,uk066,Economic activity status,Person
uk066016,Economic activity status: Economically inactive: Student,uk066,Economic activity status,Person
uk066017,Economic activity status: Economically inactive: Looking after home or family,uk066,Economic activity status,Person
uk066018,Economic activity status: Economically inactive: Long-term sick or disabled,uk066,Economic activity status,Person
uk066019,Economic activity status: Economically inactive: Other,uk066,Economic activity status,Person
uk067001,Highest level of qualification: Total: All usual residents aged 16 years and over,uk067,Highest level of qualification,Person
uk067002,Highest level of qualification: No qualifications,uk067,Highest level of qualification,Person
uk067003,Highest level of qualification: Level 1-2 Qualifications,uk067,Highest level of qualification,Person
uk067004,Highest level of qualification: Apprenticeship,uk067,Highest level of qualification,Person
uk067005,Highest level of qualification: Level 3 qualifications,uk067,Highest level of qualification,Person
uk067006,Highest level of qualification: Level 4 qualifications and above,uk067,Highest level of qualification,Person
